time,seconds_elapsed,z,y,x
1741199040297991000,16.537990966796876,-3.698073596692085,-1.3154443009078503,-6.902226781120896
1741199040307961900,16.5479619140625,-3.4812452017128463,-0.4805255086392164,-6.255571968126296
1741199040317933000,16.55793310546875,-3.009890257000923,0.27458617194294926,-5.350939588162302
1741199040327903000,16.567903076171874,-2.5211703359901905,0.9984171635985374,-4.3829210699588055
1741199040337874000,16.5778740234375,-2.268208112964779,1.5938403865277766,-3.3569314243018624
1741199040347845000,16.58784521484375,-2.158942120951414,2.0716174732416865,-2.347828031516075
1741199040357816000,16.597816162109375,-2.148644014298916,2.364424946051836,-1.3462474354505538
1741199040367786800,16.607786865234374,-2.225688675534725,2.391997428110242,-0.37161388302147386
1741199040377757400,16.61775732421875,-2.314742923516035,2.1015438249498604,0.49644379326105115
1741199040387728600,16.627728759765624,-2.3772025945603845,1.6397048966020344,1.1951719078421592
1741199040397699600,16.637699462890627,-2.39594017438665,1.0994973649382591,1.73010997467041
1741199040407670500,16.64767041015625,-2.405536708641052,0.6010165128916501,2.1071856302291154
1741199040417640700,16.657640625,-2.457990533977747,0.0982990461885929,2.408892448809743
1741199040427611600,16.667611572265624,-2.4870085386693477,-0.3982335943996906,2.6377064651370046
1741199040437582600,16.67758251953125,-2.4348762003719804,-0.8220978891402483,2.8700936637759207
1741199040447553500,16.687553466796874,-2.370265488773584,-1.161199495613575,3.053929889735579
1741199040457523700,16.697523681640625,-2.1713620420634747,-1.364953304964304,3.208841634505987
1741199040467494400,16.707494384765624,-1.9247966804683208,-1.427787070018053,3.329939957001805
1741199040477465600,16.717465576171875,-1.72250066871047,-1.2973247068494558,3.445895071390271
1741199040487436500,16.7274365234375,-1.5404581942997873,-0.9991612599641084,3.588189326649904
1741199040497406500,16.737406494140625,-1.3057809850275515,-0.5808733040511608,3.7500522057324646
1741199040507377700,16.747377685546876,-1.0605272905528544,-0.08525719378590584,3.8513451730400323
1741199040517348600,16.7573486328125,-0.8047943607050925,0.40246144122779365,3.9298610758721826
1741199040527319600,16.767319580078127,-0.5721603476982563,1.0251555329203605,3.99618560565114
1741199040537289700,16.777289794921874,-0.41225284046716987,1.7703218658104538,4.075334545689821
1741199040547260400,16.787260498046876,-0.21539280921816825,2.554403328028321,4.1532969062924385
1741199040557231600,16.797231689453124,0.0033959991138428447,3.2840254703059792,4.274848817774653
1741199040567202600,16.80720263671875,0.23713000925183295,3.799295252329111,4.402022076269984
1741199040577172500,16.81717236328125,0.40665896598286927,4.173058422338962,4.484011792692542
1741199040587143700,16.827143798828125,0.5802654012858868,4.374893538586795,4.504882731285691
1741199040597114600,16.837114501953124,0.6943781026780604,4.280715663981438,4.288037969693542
1741199040607085800,16.8470859375,0.6283038943983614,4.136935554078221,3.6715988467425107
1741199040617055700,16.8570556640625,0.3461678915977478,4.130769432663917,2.629255447655916
1741199040627026400,16.8670263671875,-0.3141748166181147,4.297983901907504,1.130195285540819
1741199040636997600,16.87699755859375,-1.0909469787359236,4.7151779251039025,-0.04382043702602386
1741199040646968600,16.886968505859375,-1.2704711867153644,5.0256899814307685,-0.5799953521728515
1741199040656939500,16.896939453125,-1.5058357937298714,5.545920892992616,-0.6147475166022777
1741199040666909700,16.90690966796875,-1.7071030469618738,6.292241948875785,-0.014578560450673102
1741199040676880600,16.916880615234376,-1.678030389473587,6.920363326314091,0.8961912993550301
1741199040686851600,16.9268515625,-1.4490030226565898,7.4046122393906115,1.8473767561793326
1741199040696822500,16.936822509765626,-1.1908908695220946,8.358981002426146,2.5505554204285144
1741199040706792700,16.946792724609374,-0.9837621769107877,10.065786089354752,2.96222600402832
1741199040716763400,16.956763427734376,-1.0417233674921096,11.786418626105785,3.523535360431671
1741199040726734600,16.966734619140624,-1.2847346898674965,12.730713738894462,4.441331173351407
1741199040736705500,16.97670556640625,-1.7635259220600128,12.818663240504264,5.711624665412306
1741199040746675500,16.986675537109374,-2.324965042322874,11.989334231066703,7.012959192425012
1741199040756646700,16.996646728515625,-2.7870225818574426,10.355272893309593,7.757878564816713
1741199040766617600,17.00661767578125,-3.211761905866861,8.640042507863043,7.456303848183155
1741199040776588800,17.0165888671875,-3.441325863778591,7.341921682199835,6.073143855398893
1741199040786558700,17.026558837890626,-3.339906639742851,6.334097807830572,4.148918252816796
1741199040796529400,17.036529296875,-2.9181401940643785,5.597734666860103,2.260586970436573
1741199040806500600,17.04650048828125,-2.1154303114831445,4.995258602809906,0.827118932172656
1741199040816471600,17.056471435546875,-1.0181154782157391,4.211654987236857,-0.028141221857070922
1741199040826441500,17.06644140625,0.3592413081824779,3.378879636737704,-0.43111528878211974
1741199040836412700,17.07641259765625,1.6966262227416038,2.584480486384034,-0.6065490125775337
1741199040846383600,17.086383544921876,2.6879145573735235,1.8470681286215782,-0.616143939396739
1741199040856354800,17.096354736328124,3.306418211638927,1.1885393379598854,-0.41659810312986373
1741199040866324700,17.10632470703125,3.4953427006483078,0.42131987095475193,0.013693594309687614
1741199040876295700,17.116295654296874,3.3334020801544186,-0.47143619325459,0.5920598839759826
1741199040886266600,17.1262666015625,2.992137742689252,-1.3014631218284367,1.0979220784455537
1741199040896237600,17.136237548828124,2.46466168230474,-1.921141080570221,1.3872113140016793
1741199040906207500,17.14620751953125,1.7953782733947037,-2.359610823768377,1.4920043983846902
1741199040916178700,17.1561787109375,1.227153438514471,-2.813029714295268,1.482663154065609
1741199040926149600,17.166149658203125,0.7924415865451097,-3.3093817376196384,1.447443956646323
1741199040936120600,17.17612060546875,0.55222822432518,-3.7080946399688717,1.4138099825918673
1741199040946090800,17.1860908203125,0.5653524943143129,-4.14863008352518,1.361648418200016
